s2_id,title,authors,abstract,publication_type,venue,date,year,is_open_access,open_access_pdf,s2_url,citations,field_of_study,query_source,pipeline_stages,topics,subject_areas,modalities,languages_supported,models_released,model_sizes,research_focus,contribution_type,relevance_score,relevance_reasoning,keywords
arxiv_2603.11510,Tiny Aya: Bridging Scale and Multilingual Depth,"['Alejandro R. Salamanca', 'Diana Abagyan', 'Daniel D\'souza', 'Sara Hooker', 'Julia Kreutzer', 'Marzieh Fadaee']","Tiny Aya redefines what a small multilingual language model can achieve. Trained on 70 languages and refined through region-aware posttraining, it delivers state-of-the-art in translation quality, strong multilingual understanding, and high-quality target-language generation, all with just 3.35B parameters.",['Conference'],arXiv,2026-03-12,2026,True,https://arxiv.org/pdf/2603.11510,,0,['Computer Science'],manual,"['Pretraining', 'Post-training', 'Evaluation']","['Multilingual Pretraining', 'Cross-Lingual Transfer', 'Low-Resource NLP', 'Knowledge Distillation', 'Machine Translation']","['Multilingualism and Cross-Lingual NLP', 'Efficient Methods', 'Language Modeling']",['Text'],['70 languages'],['Tiny Aya'],['3.35B'],Both,"['Method', 'Evaluation']",5,Directly addresses the low-resource double bind: a small (3.35B) model for 70 languages with region-aware posttraining.,"['Tiny Aya', 'multilingual', 'small language model', '70 languages', '3.35B', 'Cohere']"
arxiv_2503.19786,Gemma 3 Technical Report,['Gemma Team'],Multimodal model family spanning 1-27B parameters with expanded language support and 128K+ token context. The 4B instruction-tuned variant matches the 27B Gemma 2.,['Conference'],arXiv,2025-03-25,2025,True,https://arxiv.org/pdf/2503.19786,,0,['Computer Science'],manual,"['Pretraining', 'Post-training', 'Inference', 'Evaluation']","['Efficient Architectures', 'Knowledge Distillation', 'Multilingual Pretraining', 'Language Modeling']","['Efficient Methods', 'Language Modeling', 'Multilingualism and Cross-Lingual NLP']",['Text'],['multilingual'],"['Gemma 3 1B', 'Gemma 3 4B', 'Gemma 3 12B', 'Gemma 3 27B']","['1B', '4B', '12B', '27B']",Both,"['Method', 'Evaluation']",5,Family from 1B-27B with multilingual support and distillation. 1B/4B directly relevant to edge.,"['Gemma 3', 'distillation', 'multilingual', '1B', '4B', 'Google']"
arxiv_2601.09012,TranslateGemma Technical Report,"['Mara Finkelstein', 'Isaac Caswell', 'Tobias Domhan', 'Colin Cherry', 'Markus Freitag', 'David Vilar']","Open MT models built on Gemma 3 foundations via two-stage fine-tuning with RL, achieving gains over baseline across all sizes for 55+ language pairs.",['Conference'],arXiv,2026-01-13,2026,True,https://arxiv.org/pdf/2601.09012,,0,['Computer Science'],manual,"['Post-training', 'Evaluation']","['Machine Translation', 'Multilingual Pretraining', 'Cross-Lingual Transfer']","['Multilingualism and Cross-Lingual NLP', 'Machine Translation']",['Text'],['55+ language pairs'],['TranslateGemma'],['multiple sizes'],Both,"['Method', 'Evaluation']",5,Open MT models on efficient Gemma 3 foundations for 55+ language pairs.,"['TranslateGemma', 'machine translation', 'Gemma 3', '55 language pairs', 'Google']"
arxiv_2512.20848,"Nemotron 3 Nano: Open, Efficient Mixture-of-Experts Hybrid Mamba-Transformer Model for Agentic Reasoning",['NVIDIA'],"MoE hybrid Mamba-Transformer pretrained on 25T tokens. Better accuracy than Nemotron 2 Nano with less than half active params, 3.3x higher throughput, 1M context.",['Conference'],arXiv,2025-12-23,2025,True,https://arxiv.org/pdf/2512.20848,,0,['Computer Science'],manual,"['Pretraining', 'Post-training', 'Inference', 'Evaluation']","['Efficient Architectures', 'Mixture of Experts', 'Language Modeling', 'Model Compression']","['Efficient Methods', 'Language Modeling']",['Text'],['en'],['Nemotron 3 Nano'],['small (MoE)'],Efficiency,"['Method', 'Evaluation']",4,Efficient small LM via MoE+Mamba hybrid. Relevant to edge but primarily English.,"['Nemotron 3 Nano', 'MoE', 'Mamba', 'NVIDIA', '3.3x throughput']"
arxiv_2207.04672,No Language Left Behind: Scaling Human-Centered Machine Translation,"['NLLB Team', 'Marta R. Costa-jussà', 'James Cross', 'Onur Çelebi', 'Maha Elbayad']","MT for 200+ languages using MoE, with distilled 600M variant. 44% BLEU improvement over previous SOTA across 40,000 translation directions.",['Conference'],arXiv,2022-07-11,2022,True,https://arxiv.org/pdf/2207.04672,,0,['Computer Science'],manual,"['Data Collection', 'Pretraining', 'Post-training', 'Evaluation']","['Machine Translation', 'Multilingual Pretraining', 'Low-Resource NLP', 'Mixture of Experts']","['Multilingualism and Cross-Lingual NLP', 'Machine Translation', 'Efficient Methods']",['Text'],['200+ languages'],['NLLB-200'],"['600M', '1.3B', '3.3B', '54B (MoE)']",Both,"['Method', 'Resource', 'Evaluation']",5,MoE + distilled 600M variant for 200+ languages. Flagship efficient multilingual NLP.,"['NLLB', '200 languages', 'MoE', 'distillation', '600M', 'FLORES', 'Meta']"
arxiv_2407.21783,The Llama 3 Herd of Models,['Meta AI'],"Language models natively supporting multilinguality, coding, reasoning, and tool usage. Includes 1B and 3B small variants for edge deployment.",['Conference'],arXiv,2024-07-31,2024,True,https://arxiv.org/pdf/2407.21783,,0,['Computer Science'],manual,"['Data Collection', 'Pretraining', 'Post-training', 'Inference', 'Evaluation']","['Language Modeling', 'Multilingual Pretraining', 'Knowledge Distillation', 'Efficient Architectures']","['Language Modeling', 'Multilingualism and Cross-Lingual NLP', 'Efficient Methods']",['Text'],['multilingual'],"['Llama 3.2 1B', 'Llama 3.2 3B', 'Llama 3.1 8B', 'Llama 3.1 70B', 'Llama 3.1 405B']","['1B', '3B', '8B', '70B', '405B']",Both,"['Method', 'Evaluation']",5,1B and 3B variants for edge with native multilingual support. Pruning+distillation.,"['Llama 3', 'Llama 3.2', '1B', '3B', 'multilingual', 'edge', 'Meta']"
arxiv_2409.16235,EuroLLM: Multilingual Language Models for Europe,"['Pedro Henrique Martins', 'Patrick Fernandes', 'João Alves', 'Nuno M. Guerreiro', 'Ricardo Rei']",Open-weight multilingual LLMs for all EU languages. Includes 1.7B model with multilingual tokenizer.,['Conference'],arXiv,2024-09-24,2024,True,https://arxiv.org/pdf/2409.16235,,0,['Computer Science'],manual,"['Data Collection', 'Pretraining', 'Post-training', 'Evaluation']","['Multilingual Pretraining', 'Language Modeling', 'Machine Translation']","['Multilingualism and Cross-Lingual NLP', 'Language Modeling']",['Text'],['EU official languages'],"['EuroLLM-1.7B', 'EuroLLM-1.7B-Instruct']",['1.7B'],Both,"['Method', 'Evaluation']",5,Small (1.7B) multilingual model for European languages.,"['EuroLLM', 'European languages', '1.7B', 'EU', 'open-weight']"
arxiv_2401.13303,MaLA-500: Massive Language Adaptation of Large Language Models,"['Peiqin Lin', 'Shaoxiong Ji', 'Jörg Tiedemann', 'André F. T. Martins', 'Hinrich Schütze']",LLM adapted to 534 languages via vocabulary extension and continued pretraining on LLaMA 2.,['Conference'],arXiv,2024-01-24,2024,True,https://arxiv.org/pdf/2401.13303,,0,['Computer Science'],manual,"['Data Collection', 'Pretraining', 'Evaluation']","['Multilingual Pretraining', 'Cross-Lingual Transfer', 'Low-Resource NLP', 'Parameter-Efficient Fine-Tuning']","['Multilingualism and Cross-Lingual NLP', 'Language Modeling']",['Text'],['534 languages'],['MaLA-500'],['10B'],Both,"['Method', 'Evaluation']",4,Efficient adaptation of LLaMA 2 to 534 languages via vocabulary extension.,"['MaLA-500', '534 languages', 'vocabulary extension', 'LLaMA 2', 'Glot500']"
arxiv_2308.11596,SeamlessM4T: Massively Multilingual & Multimodal Machine Translation,"['Seamless Communication', 'Loïc Barrault', 'Yu-An Chung', 'David Dale']",Single model for speech/text translation and ASR for 100 languages. 20% BLEU improvement over SOTA.,['Conference'],arXiv,2023-08-22,2023,True,https://arxiv.org/pdf/2308.11596,,0,['Computer Science'],manual,"['Data Collection', 'Pretraining', 'Post-training', 'Evaluation']","['Machine Translation', 'Multilingual Pretraining', 'Low-Resource NLP']","['Multilingualism and Cross-Lingual NLP', 'Machine Translation']",['Text'],['100 languages'],['SeamlessM4T'],['large'],Multilinguality,"['Method', 'Resource', 'Evaluation']",4,Unified multilingual translation for 100 languages. Single-model more efficient than cascaded.,"['SeamlessM4T', '100 languages', 'multimodal translation', 'Meta']"
arxiv_2308.16149,Jais and Jais-chat: Arabic-Centric Foundation and Instruction-Tuned Open Generative Large Language Models,"['Neha Sengupta', 'Sunil Kumar Sahu', 'Bokang Jia', 'Satheesh Katipomu', 'Haonan Li']",Open-source 13B Arabic-English bilingual LLM. Better Arabic knowledge and reasoning than existing open models.,['Conference'],arXiv,2023-08-30,2023,True,https://arxiv.org/pdf/2308.16149,,0,['Computer Science'],manual,"['Data Collection', 'Pretraining', 'Post-training', 'Evaluation']","['Multilingual Pretraining', 'Language Modeling', 'Low-Resource NLP']","['Multilingualism and Cross-Lingual NLP', 'Language Modeling']",['Text'],"['ar', 'en']","['Jais-13B', 'Jais-13B-chat']",['13B'],Multilinguality,"['Method', 'Evaluation']",3,Arabic-centric bilingual model. Multilingual but not explicitly efficiency-focused.,"['Jais', 'Arabic', 'bilingual', '13B', 'open-source']"
arxiv_2404.06138,Cendol: Open Instruction-tuned Generative Large Language Models for Indonesian Languages,"['Samuel Cahyawijaya', 'Holy Lovenia', 'Fajri Koto', 'Rifki Afina Putri', 'Emmanuel Dave']",LLMs for Indonesian indigenous languages with 20% improvement. Parameter-efficient tuning and vocabulary adaptation.,['Conference'],arXiv,2024-04-09,2024,True,https://arxiv.org/pdf/2404.06138,,0,['Computer Science'],manual,"['Post-training', 'Evaluation']","['Multilingual Pretraining', 'Parameter-Efficient Fine-Tuning', 'Low-Resource NLP', 'Cross-Lingual Transfer']","['Multilingualism and Cross-Lingual NLP', 'Efficient Methods']",['Text'],"['id', 'Indonesian indigenous languages']",['Cendol'],['multiple'],Both,"['Method', 'Evaluation']",4,Parameter-efficient adaptation for Indonesian indigenous languages.,"['Cendol', 'Indonesian', 'indigenous languages', 'parameter-efficient', 'low-resource']"
